"text","user:screen_name"
"RT @60SecDocs: Rebecca's father is determined to invent a world that's easier for her. https://t.co/Jv31ZRY9bP","diogobesson"
"@paigebrittany i’m literally :$","2sheenz"
"RT @kelllicopter: i may have depression but you know what i don’t have?? money","Skylar_rawrrrr"
"RT @kpoplover727: Day 2 after the album released and I still don’t have a favorite song from DMUMT 🤦‍♀️ all of them are so good . It’s impo…","baconee_"
"RT @realDonaldTrump: John James, running as a Republican for the Senate from Michigan, is a spectacular young star of the future. We should…","jjon21"
"i guess not..","Gareeey"
"""Nothing will change"" 
As my mother would say...
#LamestExcuseForNotVoting https://t.co/5RQyoZhCqu","hellofelicia14"
"@kalina_chung @lisaquestions Yeah that’s why the “if anyone wants to pony up the dough I’ll do it” is there haha","urwitchygothmom"
"RT @nprmusic: ""You don't have to pretend you're not scared / everyone else is just as terrified as you."" Watch Courtney Barnett (@courtneym…","MetalStorm99"
"Aviation workers to withdraw services midnight https://t.co/XnZNC09HOt https://t.co/HTriUBPHhQ","Insidearewa"
"Today in History for November 5th https://t.co/pniGcpK971 https://t.co/taBDlAhBYd","OccupyNA"
"@OliverMathenge @TheStarKenya He went all the way to china for that? What all about all these maize sellers?","mainat"
"RT @NkosiKutlwano: Picnic dates 🌸 https://t.co/wOiXkFsfDt","MmolaSharon"
"RT @benshapiro: These are the top two headlines at the WaPo website right now. But no, there's no media bias. https://t.co/cV5aDQcwrK","bleev_2000"
"Benji is now on Music Access
https://t.co/PHap3cfhaJ","littlebyul0422"
"@dlwhiteman @RobMcLamb Could probably use a soccer stadium or, with some creativity, a baseball one.","BlackVishnu"
"RT @vuyanzi93: Can someone please explain the “Kenyan girl with a big waist” lyric to me? Pero like... https://t.co/htkyEXUueq","Tusk8rman"
"RT @DonPier27990569: Ok RED Wave Riders this poll
is 4 YOU. Enough talk &amp; BS!

No more chat!
No maybe!
Asking YOU 2 Pledge... 2 vote!

Are…","CommonSenseGuy2"
"RT @saddadalex: it's the last day of voting so please don't ignore this tweet! nothing is officially won yet so keep voting

rt and reply w…","tae_thegucciboy"
"RT @joncoopertweets: Devin Nunes is a traitor who absolutely needs to lose on Tuesday. Retweet if you agree. He’s Trump’s little lapdog. @J…","MsSales2U"
"RT @SincerelyRW: too much dip on ya chip. https://t.co/1c2W0UiCGh","kylaaahhhh_"
"RT @espn: Saints WR Michael Thomas had a plan 📞 https://t.co/qkAkCrIl02","Boston_Finest13"
"RT @thordaya: LADIES🗣🗣 WE ARE MAKING NOVEMBER COUNT! DO YOUR SKINCARE ROUTINE. KEEP UP WITH YOUR SCHOOLWORK. TAKE CARE OF YOUR HAIR. STOP P…","valkyrieflash"
"RT @Billcatter: It’s a ⁦@WhatATinyBug⁩ as a triffid for Halloween! https://t.co/fxc1yv9eqo","xtriplet23x"
"Ok america time to wake up and see the lies jesus lying and murdering white people groups forced my native americans","dog_boats"
"RT @bbearahblue: ariana: plus i met someone else, we havin’ better discussions 

me:

ariana: i know they say i move on too fast, but this…","lautor7"
"i literally can't see anything without my glasses ughhhh","cakeaces"
"RT @RealSaavedra: Georgia Democratic gubernatorial candidate Stacey Abrams struggles to explain her position when confronted on supporting…","dirtysouthgop"
"RT @MTV: And the 2018 #MTVEMA for Best Group goes to... @BTS_twt 🔥🔥🔥 https://t.co/GRwECTrdOv","jkmarshmallow"
"RT @Austin_James74: When Dairy Queen holds your blizzard upside down https://t.co/Z0PVlUwXdP","brennnalliillyy"
"RT @xxkarenf6: Someone send me an appreciation paragraph k thanks","veronnicuuh"
"ugh no you’ll hate me but you’re so cute angel keep being beautiful — omg don’t say that ): https://t.co/SiuPsotviD","taejkah"
"RT @WorldWideWob: Devin Booker pull-up for the win https://t.co/Yyqdrok8bg","Mr_Ok_Osei"
"RT @KevinMKruse: I just saw a couple tweets complaining about how people were trying to persuade them to get out and vote this year. 

As s…","kat_a_tonik"
"RT @mtehuitz: Anyone: h—

Me on November 6th at the voting polls: https://t.co/baJko8dXCP","DJJayyyy"
"RT @SMTOWNGLOBAL: NCT 127 captivated the audiences with their marvelous performance of ‘Regular’ on ABC’s ‘Mickey’s 90th Spectacular’!
Plea…","gbs4444"
"@johnniquest_ I can see that! I just... don't write a whole lot, period, with sprints but I love running them obvio… https://t.co/LstK6Kxn2I","JessieQuinn"
"thank u, next.","YvesSaintDarius"
"RT @chrisrele: Today’s kids will never understand how important this was https://t.co/JCwMUOsbEm","xhidxM"
"RT @jesseboese14: Dude on the right almost chucked that can but then remembered earth dying haha respect https://t.co/mkKZgN8g7G","mvrleysky"
"@nbcsnl could you tell asshole eyes to lay off our wounded vets?","603Blake"
"RT @MollyJongFast: The chicken guy kind of seems like a racist. https://t.co/7c90S1TN2t","drskc"
"@charliekirk11 @CarminesNYC @realDonaldTrump Unbelievable!!! What is wrong with everyone??? Crazy. I retweeted it t… https://t.co/MFyPhrtzfV","MsBuonarroti24"
